# 전역 수치 상수 — src/shared/constants.ts 가 이 표를 읽는다 (K.num / K.bool).
# key 는 코드가 찾는 이름이므로 바꾸지 않는다. 고치는 것은 value 뿐이다.
key,value,note
TOPVIEW_HEIGHT,90,Top view: camera height above the player (m) and max cursor distance from the player (m).
TOPVIEW_RANGE,120,
TOPVIEW_CURSOR_SPEED,0.12,Pointer-locked mouse pixels → metres of cursor travel in the top view.
GROUND_TARGET_RANGE,60,Ground targeting (drops): max distance of the aim-ray hit from the player (m).
LASER_DURATION,10,"Orbital laser: beam duration (s), damage radius (m), damage per second."
LASER_RADIUS,4,
LASER_DPS,80,"2026-09-17 (사용자 결정, 적 체력 · 플레이어 쪽 피해 1/3 개편): 240 → 80. 함선 지원 낙하물 피해는 피아 무구분이라 플레이어가 맞는 몫도 같이 줄었다."
AIRSTRIKE_RADIUS,14,"Airstrike: explosion radius (m) and damage at the centre. 감쇠는 EXPLOSION_FULL_FRACTION · EXPLOSION_OUTER_MUL 의 2단 계단이다."
AIRSTRIKE_DAMAGE,160,"2026-09-17 (1/3 개편): 480 → 160."
SUPPLY_FALL_TIME,2.2,"Supply crate: fall time (s), impact damage radius (m) / damage, loot tier (see items LOOT_TABLES), lifetime after landing (s)."
SUPPLY_IMPACT_RADIUS,2.5,
SUPPLY_IMPACT_DAMAGE,133,"2026-09-17 (1/3 개편, 내림): 400 → 133."
SUPPLY_CRATE_TIER,5,
STRUCTURE_COUNT,5,"Structures: count, hp, scatter radius around the target (m), impact damage radius / damage, fall time (s)."
STRUCTURE_HP,2000,
STRUCTURE_SCATTER,7,
STRUCTURE_IMPACT_RADIUS,2.2,
STRUCTURE_IMPACT_DAMAGE,266,"2026-09-17 (1/3 개편, 내림): 800 → 266."
STRUCTURE_FALL_TIME,2.0,
OFFSCREEN_PING_SECONDS,5,Off-screen indicators: squadmate pings show an edge arrow for this many seconds after placement.

# ── appended: Phase 4 — rogues / enemy gimmicks / corpses ──
CORPSE_LIFETIME,45,Seconds a lootable corpse (and its interactable) stays in the world.
CORPSE_INTERACT_RADIUS,2.4,Corpse interaction radius (m).
CORPSE_EMPTY_REMOVE_DELAY_S,1,"A corpse with no items left starts sinking this many seconds after the looting ended — once it is empty and the last person looking into it closed the loot window (a spawned-empty corpse counts from the moment it stands). Player · android · tutorial corpses and enemy corpses that were opened and emptied. 2026-09-16 user decision."
CORPSE_EMPTY_SINK_S,1.2,"Seconds an emptied corpse takes to sink into the ground; then it is removed (interactable · light pillar · mesh)."
CORPSE_EMPTY_SINK_DEPTH_M,1,"How deep (m) an emptied player / android / tutorial corpse sinks. Enemy rigs keep their own corpse sink depth (`anim.fade`)."
CORPSE_EMPTY_REQUEST_REACH_M,8,"Host guard: a client's `ecorpseq emptied` / `cviewq open` is accepted only while the sender's snapshot stands within this horizontal distance (m) of the corpse; the host also drops a viewer who walks beyond it (inventory auto-close is 6 m, plus snapshot lag)."
CORPSE_EMPTY_REQUEST_RATE_MAX,2,"Host guard: emptied enemy corpse requests (`ecorpseq`) and corpse window opens (`cviewq open`, separate bucket) one client may send per second (searching a corpse takes a 0.6 s hold)."
CORPSE_EMPTY_REQUEST_BURST,4,"Host guard: size of each per-sender corpse request bucket (`ecorpseq emptied`, `cviewq open`)."
ROGUE_REACTION,0.9,"Rogue gunner: reaction delay before the first shot (s), aim error (radians) at hip / after settling, damage per hit, rounds per burst."
ROGUE_AIM_ERROR,0.09,
ROGUE_AIM_ERROR_SETTLED,0.045,
ROGUE_DAMAGE,9,
ROGUE_BURST,4,
ROGUE_RANGE,55,"Rogue engagement range (m) and the ""rush the player"" impulse chance per cover cycle."
ROGUE_RUSH_CHANCE,0.2,
ROGUE_BOSS_SCALE,1.5,Boss rogue multipliers and escort count.
ROGUE_BOSS_HP_MUL,5,
ROGUE_BOSS_ESCORTS,3,
ARTILLERY_RANGE,63,"Artillery bug (2026-09-09: 90 → 63, 사거리 −30 %): preferred stand-off range (m), shell flight time (s), blast radius (m) / damage, shell hit radius for interception (m)."
SHELL_FLIGHT_TIME,6.3,2026-09-09: 4.5 → 6.3 — 사거리 −30 % 에 비행 속도 −50 % (4.5 × 0.7 / 0.5).
SHELL_BLAST_RADIUS,5,
SHELL_DAMAGE,55,
SHELL_RADIUS,0.6,
SHELL_ARC_GRAVITY,2,"2026-09-10 확정(2.6 임시값 → 2): 포탄 궤적에만 쓰는 유효 중력(m/s^2). 정점 높이 = 0.5 x this x (SHELL_FLIGHT_TIME/2)^2 = 9.9 m (실제 중력 9.81 이면 48.7 m 라 화면 밖에서 떨어졌다 = 날아온 줄도 모른다). 여전히 곡사포다: 표준 교전거리 ARTILLERY_RANGE 63 m 에서 발사각 32도 (최대사거리 98 m 22도 · 최소 42 m 43도). 표적에서 올려다본 앙각은 착탄 3초 전 18도 · 1초 전 28도 · 0.5초 전 30도 라 카메라 수직 화각 70도(= 위로 35도) 안에 내려오는 내내 들어온다 — 2.6 이면 마지막 1초가 화면 위로 빠지고(29~35도) 1.5 아래로 내리면 직사포로 보인다."
SHELL_LEAD_MAX,8,"2026-09-09: 포탄이 표적의 이동을 앞질러 조준하는 최대 거리(m). 조준점 = 위치 + 속도 × (SHELL_FLIGHT_TIME × 0.5) 인데 비행 6.3 s 로는 리드가 19 m 까지 자라 피할 수 없는 자리에 떨어지므로 여기서 자른다."
TOXIC_RADIUS,5,"Toxic bug: burst radius (m), damage (players and enemies alike), trigger distance (m)."
TOXIC_DAMAGE,60,"독성 벌레 자폭 피해 (플레이어 · 적 공통). 2026-09-17 사용자 결정 70 → 60."
TOXIC_TRIGGER_DIST,2.2,
BEHEMOTH_SCALE,3,Phase 7: 4 → 3 (the 6.4 m body stumbled on most obstacles while charging)
BEHEMOTH_CHARGE_SPEED,16,
BEHEMOTH_CHARGE_DAMAGE,60,
BEHEMOTH_KNOCKBACK,12,
BEHEMOTH_WINDUP,1.4,

# ── melee ──
# 2026-09-17 (사용자 결정): 플레이어가 적에게 주는 모든 피해 · 적 체력 1/3 (내림). 근접 45 → 15.
MELEE_DAMAGE,15,
MELEE_RANGE,2.4,
MELEE_STAMINA_COST,12,
MELEE_COOLDOWN,0.75,
MELEE_STOCK_MUL_DEFAULT,1,Weapons whose stock adds melee damage list a multiplier; this is the default for everything else.

# ── roll (구르기, replaced the dive; on V since the 2026-09-07 커서 rework moved Alt to the cursor) ──
ROLL_DURATION,0.55,
ROLL_DISTANCE,4.2,
ROLL_STAMINA_COST,22,
ROLL_COOLDOWN,0.6,
ROLL_DAMAGE_MUL,0.6,Damage taken during the roll is multiplied by this (small i-frame substitute).

# ── weight ──
WEIGHT_BASE_CAPACITY,28,kg at strength 0
WEIGHT_PER_STRENGTH,2.2,kg per 근력 point
WEIGHT_LIGHT_RATIO,0.7,조금 무거움
WEIGHT_HEAVY_RATIO,0.9,무거움
WEIGHT_OVER_RATIO,1.0,과적
WEIGHT_LIGHT_STAMINA_MUL,0.7,-30 % stamina regen
WEIGHT_HEAVY_STAMINA_MUL,0.5,-50 % stamina regen
WEIGHT_HEAVY_MOVE_MUL,0.88,

# ── detection (감지 시스템) ──
DETECT_BASE_RADIUS,14,interactable highlight radius at 인지력 0
DETECT_PER_PERCEPTION,1.6,+ meters per 인지력 point
DETECT_ENEMY_BASE_RADIUS,26,off-screen enemy arrow radius
DETECT_ENEMY_PER_PERCEPTION,2.4,
DETECT_HIGHLIGHT_COLOR,0x8fe8ff,Fresnel highlight colour for interactables / revealed objects.
DETECT_ENEMY_COLOR,0xff4d4d,

# ── tactical implants ──
IMPLANT_GRAPPLE_RANGE,45,
IMPLANT_GRAPPLE_SPEED,26,pull speed (m/s)
IMPLANT_GRAPPLE_COOLDOWN,31.2,"2026-09-14: 24 → 31.2 (+30 % 전구간 하향 — IMPLANT_GRAPPLE_CANCEL_MIN_S 도 같이 ×1.3, 환급 비율은 그대로). 2026-09-12: 12 → 24 (2배) — 대신 끝날 때 환급한다 (IMPLANT_GRAPPLE_REFUND_* · IMPLANT_GRAPPLE_CANCEL_*). 2026-09-09: 6 → 12."
IMPLANT_DASH_CHARGES,3,
IMPLANT_DASH_DISTANCE,11.25,"2026-09-12: 7.5 → 11.25 (1.5배). 2026-09-14: 앞을 레이 하나로 자르지 않는다 — 몸(PLAYER_RADIUS)을 IMPLANT_DASH_SWEEP_STEP 씩 걸음처럼 밀어 보고(표면 먼저 · resolveCollision 나중) 걸어서 닿는 가장 먼 자리에서 멈춘다. 창틀 · 깨진 창 · 개구멍을 뚫고 순간이동하던 것."
IMPLANT_DASH_SWEEP_STEP,0.15,"2026-09-14: 대시 경로를 몸으로 훑는 한 걸음(m). PLAYER_RADIUS(0.45) 보다 충분히 작아야 얇은 유리판(0.05 m)도 반드시 몸에 겹친다 — 11.25 m 에 75 걸음."
IMPLANT_DASH_SLIDE_MIN,0.5,"2026-09-14: 한 걸음을 밀어낸 뒤 진행 방향으로 이 비율(걸음 대비) 이상 나아갔으면 벽을 스치며 미끄러진 것으로 보고 계속 간다. 못 미치면 막힌 것 — 그 앞 걸음에서 멈춘다 (벽에 45° 보다 깊게 박히면 멈춘다)."
IMPLANT_DASH_MAX_SLOPE_DEG,50,"2026-09-14: 지형(발이 지형 위일 때만) 경사가 이 각도보다 가파른 오르막이면 대시가 거기서 멈춘다. player/PlayerController 의 걷기 경사 한계(STEEP_COS 50°)와 같은 값이어야 걸어서 못 가는 비탈을 대시로 오르지 않는다."
IMPLANT_DASH_COOLDOWN,5,per charge
IMPLANT_BARRIER_HP,800,
IMPLANT_BARRIER_WIDTH,7,
IMPLANT_BARRIER_HEIGHT,3.2,
IMPLANT_BARRIER_REGEN,120,Shield hp regenerated per second while it is stowed.
IMPLANT_BARRIER_BREAK_LOCKOUT,10,After the shield collapses it is locked for this long; its hp regenerates from 0 to full over exactly this window (HUD gauge).
IMPLANT_OVERCHARGE_RANGE,22,
IMPLANT_OVERCHARGE_HEAL_PER_SEC,45,@deprecated legacy beam rate; the hold-to-channel overcharge uses SELF / ALLY rates below.
IMPLANT_OVERCHARGE_SELF_HEAL_PER_SEC,10,"Overcharge (hold Q): slow self heal, faster heal on the ally under the crosshair."
IMPLANT_OVERCHARGE_ALLY_HEAL_PER_SEC,25,
IMPLANT_OVERCHARGE_ENERGY,6,Energy = seconds of continuous channelling; refills from empty in IMPLANT_OVERCHARGE_REGEN_TIME while released.
IMPLANT_OVERCHARGE_REGEN_TIME,12,
IMPLANT_OVERCHARGE_BUFF_HP_RATIO,0.9,Speed / fire-rate buff applies while channelling only when the target's hp is at least this ratio.
IMPLANT_OVERCHARGE_SPEED_MUL,1.28,
IMPLANT_OVERCHARGE_FIRERATE_MUL,1.3,
IMPLANT_OVERCHARGE_DURATION,4,buff lingers this long after the beam breaks
IMPLANT_SCAN_PULSE_INTERVAL,1,
IMPLANT_SCAN_MAX_PULSES,5,
IMPLANT_SCAN_RADIUS_STEP,18,radius grows by this per pulse
IMPLANT_SCAN_REVEAL_TIME,10,
IMPLANT_SCAN_COOLDOWN,14,
IMPLANT_AT_DAMAGE,420,"2026-09-15 은퇴 — 전술 임플란트 대전차포 제거 (사용하는 곳 없음). 계약 상수라 줄만 남는다."
IMPLANT_AT_RADIUS,7.5,"2026-09-15 은퇴 — 전술 임플란트 대전차포 제거 (사용하는 곳 없음). 계약 상수라 줄만 남는다."
IMPLANT_AT_SPEED,48,"2026-09-15 은퇴 — 전술 임플란트 대전차포 제거 (사용하는 곳 없음). 계약 상수라 줄만 남는다."
IMPLANT_AT_COOLDOWN,12,"2026-09-15 은퇴 — 전술 임플란트 대전차포 제거 (사용하는 곳 없음). 계약 상수라 줄만 남는다."

# ── gadgets ──
GADGET_CLOAK_DURATION,12,
GADGET_CLOAK_SHARE_RADIUS,8,
GADGET_DOME_HP,1000,
GADGET_DOME_RADIUS,5,
GADGET_BARRICADE_HP,1800,
GADGET_BARRICADE_RECOVER_TIME,3,
GADGET_LURE_DURATION,12,
GADGET_LURE_RADIUS,40,
GADGET_SMOKE_DURATION,16,
GADGET_SMOKE_RADIUS,7,
GADGET_MINE_ARM_TIME,3,
GADGET_MINE_RADIUS,6.5,
GADGET_MINE_DAMAGE,80,"지뢰 중심 피해 — 2026-09-17 (사용자 결정, 전역 피해 개편): 220 → 80 (중심 80 · 바깥 40)."
GADGET_TURRET_HP,600,
GADGET_TURRET_RANGE,32,
GADGET_TURRET_DPS,15,"2026-09-17 (사용자 결정, 전역 피해 개편): 60 → 15."
GADGET_TURRET_DURATION,90,
GADGET_INCENDIARY_DPS,10,"화염 지대 초당 피해 (화염 수류탄 · 피아 무구분). 2026-09-17 (사용자 결정, 전역 피해 개편): 45 → 10."
GADGET_JUMPPAD_IMPULSE,13,
GADGET_JUMPPAD_FORWARD,9,
GADGET_DEFUSE_TIME,3,"Hold time (s) to defuse a mine / recover a turret, jump pad or barricade."

# ── stealth / cloak ──
CLOAK_DETECT_MUL,0.18,Enemy detection range is multiplied by this while the target is cloaked and behaving.
CLOAK_BREAK_TIME,3,Cloak breaks for this long after firing / sprinting near an alerted enemy.
CLOAK_REVEAL_DISTANCE,4,Distance (m) at which an alerted enemy sees a cloaked target regardless.

# ── armor / durability ──
ARMOR_DURABILITY_PER_DAMAGE,0.35,Armor durability lost per point of damage absorbed.
BROKEN_WEAPON_FIRERATE_MUL,0.5,Fire-rate multiplier once a weapon is broken (durability 0) — unused while broken weapons refuse to fire.

# ── gathering / crafting ──
GATHER_NODES_PER_MISSION,34,
GATHER_INTERACT_TIME,2,
CRAFT_DEFAULT_TIME,3,
SALVAGE_NODES_PER_MISSION,7,"고철 더미 nodes per mission, on top of `GATHER_NODES_PER_MISSION` plants."
SALVAGE_INTERACT_TIME,3,Hold seconds to strip one 고철 더미 — longer than a plant (`GATHER_INTERACT_TIME`).

# ── progression ──
STAT_BASE,5,
STAT_MAX,20,
STAT_POINTS_PER_LEVEL,1,Phase 5 (2026-09-06): was 2
SKILL_LEVEL_MAX,100,
XP_BASE,120,Phase 5 (2026-09-06): was 240 (plan: 120 × n^1.35)
XP_EXPONENT,1.35,
XP_DEATH_MUL,0.4,"탈출하지 못한 레이드(사망 · 분대 전멸 · 귀환 · 포기)의 처치 경험치 배율. 2026-09-16 (사용자 결정): 레이드 경험치는 처치(`enemies.csv` raidXp)로만 쌓이고 전리품 · 탈출 보너스 · 생존 시간 경험치는 없어졌다. 서재 raidXp 배율은 이 뒤에 곱한다."

# ── appended: key rebinding + ship stash (2026-09-06) ──
STASH_COLS,10,
STASH_ROWS,24,

# ── dev console (owner: console/) ──
CONSOLE_HISTORY_MAX,50,
CONSOLE_MAX_LINES,200,Output lines kept in the console log.
CONSOLE_SUGGESTIONS_MAX,8,Suggestions shown above the input while typing.
MOVE_CHEAT_SPEED,45,`/movecheat 1` + Home: metres per second along the camera forward.

# ── unique weapons (owner: items data, weapons behaviour) ──
# 2026-09-17 (사용자 결정): 플레이어가 적에게 주는 모든 피해 · 적 체력 1/3 (내림). 유니크 피해 · 초당 피해 전부 ÷3 내림:
#   FLAME_DPS 95→31 · FLAME_ALT_DPS 75→25 · FLAME_AFTERBURN_DPS 12→4 · SHOCK_DPS 72→24 · SHOCK_CHARGE_DAMAGE 150→50 · SHURIKEN_DAMAGE 58→19
#   SLASH_DAMAGE 280→93 · BOW_DAMAGE 150→50 · BAZOOKA_DAMAGE 420→140 · BAZOOKA_ALT_DAMAGE 260→86 · MINIGUN_DAMAGE 24→8.
#   전소 열(BURNOUT_THRESHOLD 240→80 · BURNOUT_DECAY_PER_SEC 60→20)은 화염 피해를 쌓는 값이라 같이 ÷3 — 전소까지 걸리는 시간은 그대로다.
FLAME_RANGE,12,
FLAME_CONE_DEG,32,
FLAME_DPS,31,
FLAME_ALT_RANGE,26,
FLAME_ALT_CONE_DEG,7,
FLAME_ALT_DPS,25,
FLAME_FUEL_PER_SEC,12,Fuel units (ammo `qty`) burnt per second while spraying.
BURNOUT_THRESHOLD,80,Heat an enemy accumulates from flame damage before it is set 전소 (`applyStatus 'incinerated'`).
BURNOUT_DECAY_PER_SEC,20,Heat lost per second when not being burnt.
BURNOUT_DURATION,4,
FLAME_AFTERBURN_DPS,4,"Residual burning applied on every flame tick (dps, seconds)."
FLAME_AFTERBURN_DURATION,3,
SHOCK_RANGE,14,
SHOCK_CONE_DEG,50,
SHOCK_MAX_TARGETS,4,
SHOCK_DPS,24,
SHOCK_CELL_PER_SEC,8,Cell units per second while the arc is on.
SHOCK_CHARGE_TIME,1.1,
SHOCK_CHARGE_DAMAGE,50,Damage of a fully charged bolt; a partial charge scales linearly from SHOCK_CHARGE_MIN_RATIO.
SHOCK_CHARGE_MIN_RATIO,0.35,
SHOCK_CHARGE_RANGE,200,
SHOCK_CHARGE_CELLS,6,Cells per charged bolt.
SHOCK_SLOW_FACTOR,0.55,'shocked' status: slow factor and duration applied by the arc.
SHOCK_SLOW_DURATION,1.2,
SHOCK_FIZZLE_FORKS,3,"2026-09-14 테슬라 코일 LMB: 원뿔 안에 전격을 받을 대상이 없을 때 조준점 쪽으로 튀는 전격 가지 수 (시각 전용, SHOCK_MAX_TARGETS 이하). 첫 가지는 늘 조준점(벽 · 사거리 끝)으로 간다 — 그 전에는 대상이 없으면 아무것도 그리지 않아 「전격이 아예 안 나간다」로 보였다."
SHOCK_FIZZLE_SPREAD_DEG,9,"그 가지들이 총구 → 조준점 선에서 벌어지는 최대 반각(도)."
SHOCK_CRACKLE_INTERVAL,0.2,"전격이 켜져 있는 동안 지지직 소리(shot_energy 작게)를 다시 내는 간격(초). 켜는 순간에는 한 번 더 크게 난다. 원격 분대원의 전격도 같은 간격."
SHURIKEN_DAMAGE,19,
SHURIKEN_SPEED,65,
SHURIKEN_FIRE_RATE,3.2,
SHURIKEN_TRIPLE_SPREAD_DEG,7,
SHURIKEN_TRIPLE_COOLDOWN,0.9,
SLASH_HOLD_TIME,0.45,
SLASH_STAMINA_RATIO,0.5,Fraction of max stamina the big slash costs (refused below it).
SLASH_DAMAGE,93,
SLASH_RANGE,3.8,
SLASH_ARC_DEG,160,
SLASH_FOV_MUL,1.28,Camera FOV multiplier while `PlayerRef.setViewWiden(true)` (the slash wind-up / swing).
SLASH_DURATION,0.6,
BOW_DAMAGE,50,Full-draw arrow damage — a tap (no draw) deals BOW_DAMAGE × BOW_TAP_POWER; linear in between.
BOW_RANGE,150,
BOW_FIRE_RATE,4,Cooldown after an arrow leaves = 1 / BOW_FIRE_RATE s (taps can follow each other quickly).
BOW_PROJECTILE_SPEED,140,Full-draw arrow speed (m/s).
BOW_DRAW_TIME,0.8,Seconds of LMB hold from nothing to a full draw (the unique csv chargeTime column).
BOW_TAP_POWER,0.3,Damage fraction of a tap (draw 0).
BOW_TAP_SPEED,45,Arrow speed (m/s) of a tap; lerps to BOW_PROJECTILE_SPEED with the draw.
BOW_TAP_GRAVITY,12,Arrow drop (m/s²) of a tap — fine at 10–15 m and clearly low past ~25 m; lerps to BOW_FULL_GRAVITY.
BOW_FULL_GRAVITY,0.5,Arrow drop (m/s²) at full draw (flies nearly straight to the crosshair).
BAZOOKA_DAMAGE,140,
BAZOOKA_RADIUS,5.5,
BAZOOKA_SPEED,48,
BAZOOKA_ALT_FUSE,0.4,Seconds after launch when the RMB rocket detonates on its own.
BAZOOKA_ALT_DAMAGE,86,
BAZOOKA_ALT_RADIUS,4.5,
BAZOOKA_SELF_DAMAGE,22,"2026-09-14 은퇴 — 바주카는 자해 피해가 없다 (사용하는 곳 없음). 계약 상수라 줄만 남는다. (옛 뜻: 폭발 반경 안에서 받는 고정 자해 피해.)"
BAZOOKA_KNOCKBACK,15,Knockback speed away from the blast when the player is inside the radius.
BAZOOKA_SUPER_JUMP,17,"Extra vertical impulse when the blast is below the player's feet while airborne (rocket jump). 2026-09-14: 17 → 26 (사용자 결정 — 더 높이 · 더 멀리, 중력은 그대로). 2026-09-15: 26 → 17 되돌림 (사용자 결정 — 훈련장 천장에 막혀 강하게 느껴지지 않았음; 수평 BAZOOKA_JUMP_FORWARD 8 · airCarry 는 유지)."
BAZOOKA_JUMP_FORWARD,8,"2026-09-14: 로켓 점프의 수평 가속 (m/s) — 폭발 순간의 수평 이동 방향으로 더한다. 걷기 속도(PLAYER_WALK_SPEED) 보다 느리면 그 비율만큼 줄고 제자리면 0."
BAZOOKA_KNOCKBACK_DIST_MUL,0.5,"2026-09-15 (사용자 결정): distance multiplier for everything a Hammerhead blast throws the shooter — knockback and the airborne rocket jump alike. Flight distance goes with speed squared, so the code scales the speeds by its square root."
BAZOOKA_GROUNDED_DIST_MUL,0.5,"2026-09-15 (사용자 결정): extra knockback distance multiplier when the shooter was on the ground at the blast (square root on speed again). A grounded blast never adds the rocket jump."
BAZOOKA_FIRE_RATE,2.85,"2026-09-14: 연달아 세 발 — 발 간격 1/2.85 ≈ 0.35 초 (탄창 크기는 weapons_unique.csv 의 magSize)."
MINIGUN_SPINUP_TIME,1.2,
MINIGUN_SPINDOWN_TIME,0.8,
MINIGUN_DAMAGE,8,
MINIGUN_FIRE_RATE,24,
MINIGUN_SPREAD_DEG,2.6,
MINIGUN_MOVE_MUL,0.55,"Move speed multiplier while spinning (`setSpeedModifier('minigun', …)`)."

# ── stat XP (owner: progression) ──
STAT_XP_BASE,100,"Raw XP for the next stat point at stat value v: STAT_XP_BASE × v^STAT_XP_EXPONENT (5 → 1118, 10 → 3162)."
STAT_XP_EXPONENT,1.5,
STAT_MIN,1,Stats never drop below this (cheat / debuff floor).

# ── ship housing (owner: housing/ rules, hub/ geometry) ──
