# NPC 퀘스트 목표 (2026-09-14). 한 퀘스트에 보통 2–3줄, 이 파일의 줄 순서가 표시 순서다.
# kind: deliver(납품 — 함선에서 가방 + 창고로) | recover(회수 — 그 레이드에서 얻은 것을 몸에 지니고 탈출) | interact(상호작용) | kill(처치 — 막타) | discover(구조물 발견) | search(구조물 안 컨테이너 조사)
# item (deliver · recover) = 아이템 id, 또는 weapon:<계열> (AR | SMG | SR | DMR | SG — 그 계열 총기 아무 등급)
# enemy (kill) = humanoid | rogue | raider | android | bug | named | 적 타입 id (data/enemies.csv). weapon (kill, 선택) = AR | SMG | SR | DMR | SG (총기 막타만)
# site (discover · search) = outpost(전진기지) | lab(연구소) | wreck(불시착 함선). interact = scanner | basement_door | lab_door | tram | rover
# planet (레이드 목표만, 선택) = amber | tundra | mossy | ashen | crimson. chain (레이드 목표만, 선택) = 같은 값의 목표끼리는 한 레이드 안에서 모두 채워야 함께 확정된다.
# label (선택) = 자동 문구 대신 쓸 목표 문구.
quest,kind,target,item,enemy,weapon,site,interact,planet,chain,label
q_bs_e2,kill,10,,raider,,,,crimson,,
q_bs_e3,kill,1,,rogue_heavy,,,,,,
q_bs_e3,deliver,6,mat_ingot,,,,,,,
q_nm_s1,deliver,15,mat_cloth,,,,,,,
q_nm_s1,deliver,6,mat_cable,,,,,,,
q_nm_s2,recover,1,weapon:AR,,,,,,,
q_nm_s2,recover,5,mat_bio_sample,,,,,,,
q_nm_s3,interact,1,,,,,tram,,,
q_nm_s3,recover,1,weapon:SMG,,,,,,,
q_nm_s4,interact,1,,,,,rover,,,
q_nm_s4,kill,25,,bug,,,,,,
q_nm_e1,interact,1,,,,,scanner,tundra,,
q_nm_e1,discover,1,,,,lab,,tundra,,
q_nm_permit,deliver,6,mat_circuit,,,,,,,
q_nm_permit,deliver,8,mat_cable,,,,,,,
q_nm_permit,interact,1,,,,,rover,,,
q_nm_e2,discover,1,,,,outpost,,ashen,a,
q_nm_e2,search,3,,,,outpost,,ashen,a,
q_nm_e2,kill,8,,raider,,,,ashen,,
q_nm_e3,kill,1,,named,,,,,,
q_nm_e3,interact,1,,,,,scanner,crimson,,
q_ce_s1,deliver,6,herb_bloodroot,,,,,,,
q_ce_s1,deliver,8,mat_bio_sample,,,,,,,
q_ce_s2,deliver,6,crop_tuber,,,,,,,
q_ce_s2,deliver,6,crop_beanpod,,,,,,,
q_ce_s2,deliver,6,crop_leafgreen,,,,,,,
q_ce_s3,deliver,3,spec_cell,,,,,,,
q_ce_s3,recover,1,terminid_gland,,,,,mossy,,
q_ce_s4,deliver,3,food_meat_paste,,,,,,,
q_ce_s4,deliver,4,crop_capfungus,,,,,,,
q_ce_e1,deliver,2,cell_cow,,,,,,,
q_ce_e1,deliver,2,cell_chicken,,,,,,,
q_ce_permit,deliver,6,mat_circuit,,,,,,,
q_ce_permit,deliver,10,mat_bio_sample,,,,,,,
q_ce_permit,deliver,1,spec_dna,,,,,,,
q_ce_e2,discover,1,,,,lab,,,a,
q_ce_e2,search,4,,,,lab,,,a,
q_ce_e2,interact,1,,,,,scanner,,,
q_ce_e3,deliver,2,food_beef,,,,,,,
q_ce_e3,deliver,2,food_egg,,,,,,,
q_ce_e3,deliver,1,cell_casein,,,,,,,
q_ce_e4,interact,1,,,,,lab_door,,,
q_ce_e4,recover,2,spec_cell,,,,,,,
q_rv_1,deliver,5,cred_chip,,,,,,,
q_rv_1,deliver,2,salvage_electronics,,,,,,,
q_rv_2,discover,1,,,,outpost,,amber,a,
q_rv_2,search,4,,,,outpost,,amber,a,
q_rv_2,kill,6,,android,,,,amber,,
q_rv_3,discover,1,,,,lab,,mossy,a,
q_rv_3,search,3,,,,lab,,mossy,a,
q_rv_3,deliver,1,data_core,,,,,,,
q_rv_4,deliver,1,data_core_encrypted,,,,,,,
q_rv_4,kill,15,,android,,,,amber,,
q_kn_1,kill,6,,raider,,,,ashen,,
q_kn_1,recover,1,weapon:AR,,,,,ashen,,
q_kn_2,kill,12,,raider,,,,crimson,,
q_kn_2,search,3,,,,outpost,,crimson,,
q_kn_3,kill,10,,raider,SG,,,,,
q_kn_3,recover,1,weapon:SG,,,,,,,
q_kn_4,interact,1,,,,,scanner,,,
q_kn_4,kill,1,,rogue_sniper,,,,,,
